PedidoID,ClienteID,SucursalID,EmpleadoID,FechaPedido,Estado,Total,Notas
67,50,10,19,28/09/2023 13:23,Completado,972.41,
68,86,3,20,03/11/2023 11:08,Completado,361.55,
69,84,4,28,11/02/2024 18:55,Enviado,677.93,
70,44,6,29,06/02/2023 14:52,Completado,939.1,
71,53,14,32,23/10/2024 14:25,Completado,947.92,
72,35,14,23,02/12/2023 11:50,En proceso,505.11,
73,41,4,7,10/07/2023 14:49,Enviado,115.54,
74,96,1,1,16/06/2023 15:04,Enviado,307.59,
75,24,2,26,05/06/2024 09:57,Completado,804.88,
76,45,6,32,15/01/2024 16:38,Cancelado,40.18,
77,56,1,25,01/02/2024 15:44,Completado,1327.86,
78,55,3,9,08/08/2024 17:05,Completado,348.98,
79,94,3,15,24/05/2024 17:46,Completado,1150.86,
80,2,14,32,30/01/2024 16:53,Completado,2134.18,
81,11,11,33,05/03/2023 19:54,Completado,4378.88,
82,100,12,25,15/05/2024 16:28,Completado,799.18,
83,29,8,25,07/01/2024 13:50,En proceso,850.55,
84,13,4,4,20/11/2023 09:41,Completado,4027.45,
85,90,17,18,08/11/2023 08:26,Completado,12068.77,
86,40,1,5,07/10/2023 17:42,Completado,2760.6,
87,70,20,19,01/12/2024 15:05,Completado,3101.39,
88,39,18,1,03/12/2024 18:47,En proceso,1618.39,
89,58,3,6,06/06/2024 18:09,Completado,1524.94,
90,79,19,32,18/02/2024 13:16,Enviado,72.96,
91,15,14,37,24/09/2023 20:31,Completado,1478.46,
92,55,13,20,27/09/2024 11:35,Completado,524.87,
93,34,11,25,25/04/2024 12:50,Cancelado,763.04,
94,3,7,19,23/04/2023 08:00,Enviado,1000.24,
95,48,5,21,15/09/2023 09:44,En proceso,105.68,
96,81,9,33,28/02/2023 10:23,Completado,274.02,
97,92,6,12,26/03/2023 19:42,Enviado,215.78,
98,87,11,40,17/03/2023 20:18,Cancelado,1598.49,
99,34,3,39,30/12/2024 11:28,Completado,3688.16,
100,33,1,22,01/04/2023 12:30,En proceso,2597.33,
101,78,1,2,03/09/2024 15:24,Completado,1292.65,
102,75,6,9,07/07/2023 17:34,Completado,6544.88,
103,35,6,27,24/08/2023 08:55,Cancelado,1139.4,
104,6,15,8,19/03/2024 08:12,En proceso,18.29,
105,99,4,30,31/07/2023 20:02,Enviado,1871.88,
106,57,1,22,27/03/2023 15:05,Cancelado,62.71,
107,73,5,12,28/09/2024 09:12,Completado,3368.8,
108,4,7,40,30/03/2024 08:59,Completado,1744.89,
109,9,3,15,27/02/2024 08:24,Completado,1249.85,
110,81,17,32,04/01/2024 15:33,Completado,623.82,
111,61,2,27,11/08/2024 13:46,En proceso,2244.31,
112,57,4,13,27/02/2024 11:06,Completado,487.5,
113,98,6,13,05/08/2023 17:44,Completado,45.12,
114,18,8,27,29/11/2023 14:34,Completado,1422.77,
115,74,17,30,02/02/2023 10:26,Completado,141.22,
116,100,11,37,27/09/2024 14:43,Completado,87.1,
117,6,10,30,30/03/2023 19:58,Completado,2809.66,
118,100,19,26,17/11/2024 08:32,Completado,1726.48,
119,75,5,40,13/07/2024 12:46,En proceso,6127.66,
120,20,1,22,11/03/2023 08:45,Completado,5287.92,
121,44,7,5,12/05/2023 13:44,Completado,2822.6,
122,57,18,38,26/01/2023 11:24,Completado,963.6,
123,61,12,20,07/06/2023 12:01,Completado,567.33,
124,90,11,31,13/03/2023 09:55,Cancelado,641.46,
125,40,4,15,30/04/2024 18:59,Enviado,181.75,
126,13,11,34,23/11/2023 18:17,Enviado,824.07,
127,50,16,37,09/01/2024 12:43,Completado,697.67,
128,13,19,33,19/08/2024 09:05,En proceso,529.54,
129,24,7,1,11/07/2023 15:25,Completado,1301.6,
130,41,20,32,24/12/2024 14:01,En proceso,1801.83,
131,30,20,22,20/07/2023 19:56,Enviado,3127.97,
132,76,17,13,18/06/2023 18:24,Cancelado,991.9,
133,35,6,3,13/08/2023 20:25,Completado,3511.36,
134,45,18,27,08/05/2024 13:19,Completado,144.52,
135,2,16,8,06/12/2024 17:19,Cancelado,900.34,
136,34,14,7,04/02/2024 19:41,Completado,91.18,
137,45,1,15,14/09/2024 13:12,Completado,1074.3,
138,3,13,14,27/07/2023 17:18,En proceso,909.31,
139,88,2,8,17/11/2024 19:29,Enviado,311.12,
140,48,19,4,18/01/2024 10:09,Completado,4750.8,
141,12,9,18,07/07/2023 13:12,Cancelado,865.54,
142,62,2,39,29/06/2024 08:23,Cancelado,1263.9,
143,64,10,13,25/08/2024 08:39,En proceso,2381.92,
144,27,2,38,28/04/2023 17:08,Completado,268.17,
145,67,5,11,15/05/2024 12:55,Completado,269.56,
146,33,8,19,18/03/2024 12:05,Completado,469.84,
147,49,17,30,10/10/2023 09:26,Completado,154.96,
148,17,16,9,29/10/2023 17:08,Completado,1153.25,
149,11,12,21,09/07/2024 15:14,Completado,3193.98,
150,93,11,31,10/01/2023 17:08,Completado,2768.17,
151,58,20,26,03/07/2023 15:09,Completado,1110.9,
152,97,15,4,19/05/2023 19:50,Completado,3422.53,
153,19,8,1,09/07/2024 14:02,Cancelado,12.85,
154,96,14,16,05/04/2023 14:02,Completado,796.37,
155,63,11,33,29/06/2024 19:12,Cancelado,102.96,
156,42,7,25,29/07/2024 19:20,Completado,420.47,
157,38,5,10,28/12/2023 09:19,Enviado,447.48,
158,79,17,32,24/06/2024 19:50,Enviado,1947.02,
159,56,15,21,03/10/2024 16:11,Cancelado,7473,
160,61,12,12,23/06/2024 09:20,Completado,2415.14,
161,49,10,12,28/10/2024 14:55,Cancelado,1993.32,
162,100,20,38,26/11/2024 19:05,Completado,1652.69,
163,7,11,18,23/09/2023 16:53,Completado,992.74,
164,77,4,40,27/10/2024 19:59,Cancelado,1957.08,
165,28,4,39,24/06/2023 17:56,Completado,405.93,
166,53,20,12,25/11/2023 17:37,Completado,439.52,
167,5,6,2,21/05/2024 13:28,Completado,513,
168,100,18,10,27/09/2024 20:57,Completado,954.25,
169,15,20,12,17/04/2023 15:54,Completado,168.43,
170,97,6,7,31/01/2023 20:55,Enviado,1807.47,
171,14,11,38,11/07/2023 18:20,Enviado,846.38,
172,75,16,28,03/07/2024 12:56,Enviado,439.98,
173,15,19,23,26/05/2023 12:46,Completado,580.28,
174,11,7,14,26/09/2024 08:52,Enviado,610,
175,30,11,19,15/02/2023 08:02,Completado,118.59,
176,73,7,26,06/06/2024 13:34,Enviado,1899.91,
177,34,8,8,10/01/2023 15:48,Enviado,1305.28,
178,47,17,2,21/02/2024 17:52,Completado,458.49,
179,22,8,1,23/05/2024 18:48,Completado,346.02,
180,81,1,19,02/12/2023 19:30,Completado,1165.83,
181,70,6,23,01/03/2024 13:51,Completado,832.06,
182,95,2,11,14/08/2023 11:09,Completado,163.64,
183,40,1,40,05/02/2023 15:05,Completado,4023.76,
184,20,4,15,23/06/2024 18:10,Completado,173.84,
185,54,10,22,13/09/2024 13:46,Enviado,126.54,
186,58,20,30,14/12/2023 20:14,Completado,1289.64,
187,64,5,18,25/04/2023 12:16,En proceso,317.49,
188,12,20,26,08/04/2023 12:02,Completado,3442.37,
189,70,11,36,29/04/2023 08:04,Completado,588.57,
190,18,10,3,20/03/2024 08:10,Completado,392.14,
191,73,5,8,06/05/2024 10:18,Completado,270.26,
192,24,2,38,02/11/2023 08:16,Cancelado,2956.7,
193,37,10,38,19/10/2024 08:51,Enviado,1083.24,
194,39,17,24,17/08/2023 17:20,Completado,926.55,
195,11,6,20,28/11/2024 13:19,Enviado,257.57,
196,18,12,10,05/01/2023 08:28,Enviado,808.27,
197,81,3,8,23/09/2024 13:17,Completado,144.15,
198,50,3,37,11/06/2023 20:32,Completado,806.57,
199,100,1,33,12/01/2024 10:50,Enviado,549.13,
200,73,7,28,06/11/2023 18:10,Completado,1150.38,
